Order_ID,Date,Customer,Product,Category,Quantity,Unit_Price,Total,Region,Status
ORD-000139,8/28/2024,Customer 139,Tablet,Office,20,392.99,7859.8,Central,Processing
ORD-000140,9/1/2023,Customer 140,Laptop Pro,Electronics,1,409.99,409.99,North,Completed
ORD-000141,10/2/2024,Customer 141,Wireless Mouse,Accessories,2,426.99,853.98,South,Completed
ORD-000142,11/3/2023,Customer 142,"Monitor 27""",Furniture,3,443.99,1331.97,East,Pending
ORD-000143,12/4/2024,Customer 143,Keyboard,Office,4,460.99,1843.96,West,Shipped
ORD-000144,1/5/2023,Customer 144,Webcam HD,Electronics,5,477.99,2389.95,Central,Processing
ORD-000145,2/6/2024,Customer 145,Headphones,Accessories,6,494.99,2969.94,North,Completed
ORD-000146,3/7/2023,Customer 146,USB Hub,Furniture,7,511.99,3583.93,South,Completed
ORD-000147,4/8/2024,Customer 147,Desk Chair,Office,8,528.99,4231.92,East,Pending
ORD-000148,5/9/2023,Customer 148,Standing Desk,Electronics,9,45.99,413.91,West,Shipped
ORD-000149,6/10/2024,Customer 149,Tablet,Accessories,10,62.99,629.9,Central,Processing
ORD-000150,7/11/2023,Customer 150,Laptop Pro,Furniture,11,79.99,879.89,North,Completed
ORD-000151,8/12/2024,Customer 151,Wireless Mouse,Office,12,96.99,1163.88,South,Completed
ORD-000152,9/13/2023,Customer 152,"Monitor 27""",Electronics,13,113.99,1481.87,East,Pending
ORD-000153,10/14/2024,Customer 153,Keyboard,Accessories,14,130.99,1833.86,West,Shipped
ORD-000154,11/15/2023,Customer 154,Webcam HD,Furniture,15,147.99,2219.85,Central,Processing
ORD-000155,12/16/2024,Customer 155,Headphones,Office,16,164.99,2639.84,North,Completed
ORD-000156,1/17/2023,Customer 156,USB Hub,Electronics,17,181.99,3093.83,South,Completed
ORD-000157,2/18/2024,Customer 157,Desk Chair,Accessories,18,198.99,3581.82,East,Pending
ORD-000158,3/19/2023,Customer 158,Standing Desk,Furniture,19,215.99,4103.81,West,Shipped
ORD-000159,4/20/2024,Customer 159,Tablet,Office,20,232.99,4659.8,Central,Processing
ORD-000160,5/21/2023,Customer 160,Laptop Pro,Electronics,1,249.99,249.99,North,Completed
ORD-000161,6/22/2024,Customer 161,Wireless Mouse,Accessories,2,266.99,533.98,South,Completed
ORD-000162,7/23/2023,Customer 162,"Monitor 27""",Furniture,3,283.99,851.97,East,Pending
ORD-000163,8/24/2024,Customer 163,Keyboard,Office,4,300.99,1203.96,West,Shipped
ORD-000164,9/25/2023,Customer 164,Webcam HD,Electronics,5,317.99,1589.95,Central,Processing
ORD-000165,10/26/2024,Customer 165,Headphones,Accessories,6,334.99,2009.94,North,Completed
ORD-000166,11/27/2023,Customer 166,USB Hub,Furniture,7,351.99,2463.93,South,Completed
ORD-000167,12/28/2024,Customer 167,Desk Chair,Office,8,368.99,2951.92,East,Pending
ORD-000168,1/1/2023,Customer 168,Standing Desk,Electronics,9,385.99,3473.91,West,Shipped
ORD-000169,2/2/2024,Customer 169,Tablet,Accessories,10,402.99,4029.9,Central,Processing
ORD-000170,3/3/2023,Customer 170,Laptop Pro,Furniture,11,419.99,4619.89,North,Completed
ORD-000171,4/4/2024,Customer 171,Wireless Mouse,Office,12,436.99,5243.88,South,Completed
ORD-000172,5/5/2023,Customer 172,"Monitor 27""",Electronics,13,453.99,5901.87,East,Pending
ORD-000173,6/6/2024,Customer 173,Keyboard,Accessories,14,470.99,6593.86,West,Shipped
ORD-000174,7/7/2023,Customer 174,Webcam HD,Furniture,15,487.99,7319.85,Central,Processing
ORD-000175,8/8/2024,Customer 175,Headphones,Office,16,504.99,8079.84,North,Completed
ORD-000176,9/9/2023,Customer 176,USB Hub,Electronics,17,521.99,8873.83,South,Completed
ORD-000177,10/10/2024,Customer 177,Desk Chair,Accessories,18,38.99,701.82,East,Pending
ORD-000178,11/11/2023,Customer 178,Standing Desk,Furniture,19,55.99,1063.81,West,Shipped
ORD-000179,12/12/2024,Customer 179,Tablet,Office,20,72.99,1459.8,Central,Processing
ORD-000180,1/13/2023,Customer 180,Laptop Pro,Electronics,1,89.99,89.99,North,Completed
ORD-000181,2/14/2024,Customer 181,Wireless Mouse,Accessories,2,106.99,213.98,South,Completed
ORD-000182,3/15/2023,Customer 182,"Monitor 27""",Furniture,3,123.99,371.97,East,Pending
ORD-000183,4/16/2024,Customer 183,Keyboard,Office,4,140.99,563.96,West,Shipped
ORD-000184,5/17/2023,Customer 184,Webcam HD,Electronics,5,157.99,789.95,Central,Processing
ORD-000185,6/18/2024,Customer 185,Headphones,Accessories,6,174.99,1049.94,North,Completed
ORD-000186,7/19/2023,Customer 186,USB Hub,Furniture,7,191.99,1343.93,South,Completed
ORD-000187,8/20/2024,Customer 187,Desk Chair,Office,8,208.99,1671.92,East,Pending
ORD-000188,9/21/2023,Customer 188,Standing Desk,Electronics,9,225.99,2033.91,West,Shipped
ORD-000189,10/22/2024,Customer 189,Tablet,Accessories,10,242.99,2429.9,Central,Processing
ORD-000190,11/23/2023,Customer 190,Laptop Pro,Furniture,11,259.99,2859.89,North,Completed
ORD-000191,12/24/2024,Customer 191,Wireless Mouse,Office,12,276.99,3323.88,South,Completed
ORD-000192,1/25/2023,Customer 192,"Monitor 27""",Electronics,13,293.99,3821.87,East,Pending
ORD-000193,2/26/2024,Customer 193,Keyboard,Accessories,14,310.99,4353.86,West,Shipped
ORD-000194,3/27/2023,Customer 194,Webcam HD,Furniture,15,327.99,4919.85,Central,Processing
ORD-000195,4/28/2024,Customer 195,Headphones,Office,16,344.99,5519.84,North,Completed
ORD-000196,5/1/2023,Customer 196,USB Hub,Electronics,17,361.99,6153.83,South,Completed
ORD-000197,6/2/2024,Customer 197,Desk Chair,Accessories,18,378.99,6821.82,East,Pending
ORD-000198,7/3/2023,Customer 198,Standing Desk,Furniture,19,395.99,7523.81,West,Shipped
ORD-000199,8/4/2024,Customer 199,Tablet,Office,20,412.99,8259.8,Central,Processing
ORD-000200,9/5/2023,Customer 200,Laptop Pro,Electronics,1,429.99,429.99,North,Completed
ORD-000201,10/6/2024,Customer 201,Wireless Mouse,Accessories,2,446.99,893.98,South,Completed
ORD-000202,11/7/2023,Customer 202,"Monitor 27""",Furniture,3,463.99,1391.97,East,Pending
ORD-000203,12/8/2024,Customer 203,Keyboard,Office,4,480.99,1923.96,West,Shipped
ORD-000204,1/9/2023,Customer 204,Webcam HD,Electronics,5,497.99,2489.95,Central,Processing
ORD-000205,2/10/2024,Customer 205,Headphones,Accessories,6,514.99,3089.94,North,Completed
ORD-000206,3/11/2023,Customer 206,USB Hub,Furniture,7,31.99,223.93,South,Completed
ORD-000207,4/12/2024,Customer 207,Desk Chair,Office,8,48.99,391.92,East,Pending
ORD-000208,5/13/2023,Customer 208,Standing Desk,Electronics,9,65.99,593.91,West,Shipped
ORD-000209,6/14/2024,Customer 209,Tablet,Accessories,10,82.99,829.9,Central,Processing
ORD-000210,7/15/2023,Customer 210,Laptop Pro,Furniture,11,99.99,1099.89,North,Completed
ORD-000211,8/16/2024,Customer 211,Wireless Mouse,Office,12,116.99,1403.88,South,Completed
ORD-000212,9/17/2023,Customer 212,"Monitor 27""",Electronics,13,133.99,1741.87,East,Pending
ORD-000213,10/18/2024,Customer 213,Keyboard,Accessories,14,150.99,2113.86,West,Shipped
ORD-000214,11/19/2023,Customer 214,Webcam HD,Furniture,15,167.99,2519.85,Central,Processing
ORD-000215,12/20/2024,Customer 215,Headphones,Office,16,184.99,2959.84,North,Completed
ORD-000216,1/21/2023,Customer 216,USB Hub,Electronics,17,201.99,3433.83,South,Completed
ORD-000217,2/22/2024,Customer 217,Desk Chair,Accessories,18,218.99,3941.82,East,Pending
ORD-000218,3/23/2023,Customer 218,Standing Desk,Furniture,19,235.99,4483.81,West,Shipped
ORD-000219,4/24/2024,Customer 219,Tablet,Office,20,252.99,5059.8,Central,Processing
ORD-000220,5/25/2023,Customer 220,Laptop Pro,Electronics,1,269.99,269.99,North,Completed
ORD-000221,6/26/2024,Customer 221,Wireless Mouse,Accessories,2,286.99,573.98,South,Completed
ORD-000222,7/27/2023,Customer 222,"Monitor 27""",Furniture,3,303.99,911.97,East,Pending
ORD-000223,8/28/2024,Customer 223,Keyboard,Office,4,320.99,1283.96,West,Shipped
ORD-000224,9/1/2023,Customer 224,Webcam HD,Electronics,5,337.99,1689.95,Central,Processing
ORD-000225,10/2/2024,Customer 225,Headphones,Accessories,6,354.99,2129.94,North,Completed
ORD-000226,11/3/2023,Customer 226,USB Hub,Furniture,7,371.99,2603.93,South,Completed
ORD-000227,12/4/2024,Customer 227,Desk Chair,Office,8,388.99,3111.92,East,Pending
ORD-000228,1/5/2023,Customer 228,Standing Desk,Electronics,9,405.99,3653.91,West,Shipped
ORD-000229,2/6/2024,Customer 229,Tablet,Accessories,10,422.99,4229.9,Central,Processing
ORD-000230,3/7/2023,Customer 230,Laptop Pro,Furniture,11,439.99,4839.89,North,Completed
ORD-000231,4/8/2024,Customer 231,Wireless Mouse,Office,12,456.99,5483.88,South,Completed
ORD-000232,5/9/2023,Customer 232,"Monitor 27""",Electronics,13,473.99,6161.87,East,Pending
ORD-000233,6/10/2024,Customer 233,Keyboard,Accessories,14,490.99,6873.86,West,Shipped
ORD-000234,7/11/2023,Customer 234,Webcam HD,Furniture,15,507.99,7619.85,Central,Processing
ORD-000235,8/12/2024,Customer 235,Headphones,Office,16,524.99,8399.84,North,Completed
ORD-000236,9/13/2023,Customer 236,USB Hub,Electronics,17,41.99,713.83,South,Completed
ORD-000237,10/14/2024,Customer 237,Desk Chair,Accessories,18,58.99,1061.82,East,Pending
ORD-000238,11/15/2023,Customer 238,Standing Desk,Furniture,19,75.99,1443.81,West,Shipped
ORD-000239,12/16/2024,Customer 239,Tablet,Office,20,92.99,1859.8,Central,Processing
ORD-000240,1/17/2023,Customer 240,Laptop Pro,Electronics,1,109.99,109.99,North,Completed
ORD-000241,2/18/2024,Customer 241,Wireless Mouse,Accessories,2,126.99,253.98,South,Completed
ORD-000242,3/19/2023,Customer 242,"Monitor 27""",Furniture,3,143.99,431.97,East,Pending
ORD-000243,4/20/2024,Customer 243,Keyboard,Office,4,160.99,643.96,West,Shipped
ORD-000244,5/21/2023,Customer 244,Webcam HD,Electronics,5,177.99,889.95,Central,Processing
ORD-000245,6/22/2024,Customer 245,Headphones,Accessories,6,194.99,1169.94,North,Completed
ORD-000246,7/23/2023,Customer 246,USB Hub,Furniture,7,211.99,1483.93,South,Completed
ORD-000247,8/24/2024,Customer 247,Desk Chair,Office,8,228.99,1831.92,East,Pending
ORD-000248,9/25/2023,Customer 248,Standing Desk,Electronics,9,245.99,2213.91,West,Shipped
ORD-000249,10/26/2024,Customer 249,Tablet,Accessories,10,262.99,2629.9,Central,Processing
ORD-000250,11/27/2023,Customer 250,Laptop Pro,Furniture,11,279.99,3079.89,North,Completed
ORD-000251,12/28/2024,Customer 251,Wireless Mouse,Office,12,296.99,3563.88,South,Completed
ORD-000252,1/1/2023,Customer 252,"Monitor 27""",Electronics,13,313.99,4081.87,East,Pending
ORD-000253,2/2/2024,Customer 253,Keyboard,Accessories,14,330.99,4633.86,West,Shipped
ORD-000254,3/3/2023,Customer 254,Webcam HD,Furniture,15,347.99,5219.85,Central,Processing
ORD-000255,4/4/2024,Customer 255,Headphones,Office,16,364.99,5839.84,North,Completed
ORD-000256,5/5/2023,Customer 256,USB Hub,Electronics,17,381.99,6493.83,South,Completed
ORD-000257,6/6/2024,Customer 257,Desk Chair,Accessories,18,398.99,7181.82,East,Pending
ORD-000258,7/7/2023,Customer 258,Standing Desk,Furniture,19,415.99,7903.81,West,Shipped
ORD-000259,8/8/2024,Customer 259,Tablet,Office,20,432.99,8659.8,Central,Processing
ORD-000260,9/9/2023,Customer 260,Laptop Pro,Electronics,1,449.99,449.99,North,Completed
ORD-000261,10/10/2024,Customer 261,Wireless Mouse,Accessories,2,466.99,933.98,South,Completed
ORD-000262,11/11/2023,Customer 262,"Monitor 27""",Furniture,3,483.99,1451.97,East,Pending
ORD-000263,12/12/2024,Customer 263,Keyboard,Office,4,500.99,2003.96,West,Shipped
ORD-000264,1/13/2023,Customer 264,Webcam HD,Electronics,5,517.99,2589.95,Central,Processing
ORD-000265,2/14/2024,Customer 265,Headphones,Accessories,6,34.99,209.94,North,Completed
ORD-000266,3/15/2023,Customer 266,USB Hub,Furniture,7,51.99,363.93,South,Completed
ORD-000267,4/16/2024,Customer 267,Desk Chair,Office,8,68.99,551.92,East,Pending
ORD-000268,5/17/2023,Customer 268,Standing Desk,Electronics,9,85.99,773.91,West,Shipped
ORD-000269,6/18/2024,Customer 269,Tablet,Accessories,10,102.99,1029.9,Central,Processing
ORD-000270,7/19/2023,Customer 270,Laptop Pro,Furniture,11,119.99,1319.89,North,Completed
ORD-000271,8/20/2024,Customer 271,Wireless Mouse,Office,12,136.99,1643.88,South,Completed
ORD-000272,9/21/2023,Customer 272,"Monitor 27""",Electronics,13,153.99,2001.87,East,Pending
ORD-000273,10/22/2024,Customer 273,Keyboard,Accessories,14,170.99,2393.86,West,Shipped
ORD-000274,11/23/2023,Customer 274,Webcam HD,Furniture,15,187.99,2819.85,Central,Processing
ORD-000275,12/24/2024,Customer 275,Headphones,Office,16,204.99,3279.84,North,Completed
ORD-000276,1/25/2023,Customer 276,USB Hub,Electronics,17,221.99,3773.83,South,Completed
ORD-000277,2/26/2024,Customer 277,Desk Chair,Accessories,18,238.99,4301.82,East,Pending
ORD-000278,3/27/2023,Customer 278,Standing Desk,Furniture,19,255.99,4863.81,West,Shipped
ORD-000279,4/28/2024,Customer 279,Tablet,Office,20,272.99,5459.8,Central,Processing
ORD-000280,5/1/2023,Customer 280,Laptop Pro,Electronics,1,289.99,289.99,North,Completed
ORD-000281,6/2/2024,Customer 281,Wireless Mouse,Accessories,2,306.99,613.98,South,Completed
ORD-000282,7/3/2023,Customer 282,"Monitor 27""",Furniture,3,323.99,971.97,East,Pending
ORD-000283,8/4/2024,Customer 283,Keyboard,Office,4,340.99,1363.96,West,Shipped
ORD-000284,9/5/2023,Customer 284,Webcam HD,Electronics,5,357.99,1789.95,Central,Processing
ORD-000285,10/6/2024,Customer 285,Headphones,Accessories,6,374.99,2249.94,North,Completed
ORD-000286,11/7/2023,Customer 286,USB Hub,Furniture,7,391.99,2743.93,South,Completed
